Episode,MULDER,SCULLY
S1E1,8,3
S1E2,0,8
S1E3,2,2
S1E4,5,8
S1E5,2,1
S1E6,5,3
S1E7,2,1
S1E8,1,2
S1E9,2,0
S1E10,3,3
S1E11,8,2
S1E12,0,0
S1E13,4,4
S1E14,2,5
S1E15,2,1
S1E16,4,1
S1E17,2,2
S1E18,4,1
S1E19,1,8
S1E20,0,0
S1E21,2,2
S1E22,1,3
S1E23,2,2
S2E1,2,0
S2E2,4,2
S2E3,2,0
S2E4,3,0
S2E5,1,1
S2E6,2,0
S2E7,1,0
S2E8,2,0
S2E9,1,1
S2E10,2,1
S2E11,0,0
S2E12,3,0
S2E13,0,1
S2E14,0,3
S2E15,2,2
S2E16,7,1
S2E17,0,1
S2E18,5,0
S2E19,0,6
S2E20,0,0
S2E21,4,1
S2E22,4,2
S2E23,3,2
S2E24,2,0
S2E25,4,2
S3E1,0,5
S3E2,1,3
S3E3,2,3
S3E4,4,2
S3E5,1,1
S3E6,1,1
S3E7,1,0
S3E8,0,1
S3E9,7,5
S3E10,3,6
S3E11,1,1
S3E12,23,5
S3E13,1,1
S3E14,0,1
S3E15,4,3
S3E16,1,0
S3E17,3,0
S3E18,1,2
S3E19,1,2
S3E20,0,2
S3E21,2,3
S3E22,3,1
S3E23,9,0
S3E24,1,2
S4E1,1,6
S4E2,2,4
S4E3,13,3
S4E4,1,5
S4E5,3,1
S4E6,7,7
S4E7,0,0
S4E8,1,3
S4E9,2,2
S4E10,1,3
S4E11,4,4
S4E12,0,1
S4E13,4,18
S4E14,6,13
S4E15,4,9
S4E16,3,2
S4E17,5,7
S4E18,3,1
S4E19,3,3
S4E20,18,9
S4E21,5,0
S4E22,7,8
S4E23,6,2
S4E24,1,7
S5E1,4,0
S5E2,2,6
S5E3,4,2
S5E4,4,2
S5E5,0,7
S5E6,2,5
S5E7,4,2
S5E8,3,0
S5E9,3,2
S5E10,7,14
S5E11,5,1
S5E12,13,7
S5E13,1,9
S5E14,2,15
S5E15,6,0
S5E16,1,1
S5E17,6,12
S5E18,1,4
S5E19,4,2
S5E20,0,0
S6E1,2,2
S6E2,7,12
S6E3,1,13
S6E4,1,3
S6E5,2,4
S6E6,8,2
S6E7,4,5
S6E8,7,9
S6E9,6,2
S6E10,1,1
S6E11,1,0
S6E12,3,1
S6E13,7,4
S6E14,2,4
S6E15,2,1
S6E16,5,6
S6E17,4,9
S6E18,0,0
S6E19,0,2
S6E20,7,3
S6E21,2,4
S6E22,4,6
